Aeromobile,Aeromobile,88299,0.0112
Afghanistan,Afghanistan - Fixed,93,0.0112
Afghanistan,Afghanistan - Kabul,9320,0.0112
Afghanistan,Afghanistan - Mobile,937,0.0112
Afghanistan,Afghanistan - Mobile (Areeba),9377,0.0112
Afghanistan,Afghanistan - Mobile (At),9375,0.0112
Afghanistan,Afghanistan - Mobile (Awcc),9370,0.0112
Afghanistan,Afghanistan - Mobile (Etisalat),9378,0.0112
Afghanistan,Afghanistan - Mobile (Roshan),9372,0.0112
Afghanistan,Afghanistan - Mobile (Roshan), 9379,0.0112
Afghanistan,Afghanistan - Mobile (Wasel),937500,0.0112
Afghanistan,Afghanistan - Mobile (Wasel), 937501,0.0112
Afghanistan,Afghanistan - Mobile (Wasel), 937502,0.0112
Afghanistan,Afghanistan - Mobile (Wasel), 937503,0.0112
Afghanistan,Afghanistan - Mobile (Wasel), 937504,0.0112
Albania,Albania - Fixed,355,0.0112
Albania,Albania - Tirana,3554,0.0112
Albania,Albania - Mobile,35567,0.0112
Albania,Albania - Mobile (Amc),35568,0.0112
Albania,Albania - Mobile (Plus),35566,0.0112
Albania,Albania - Mobile (Vodafone),35569,0.0112
Algeria,Algeria - Fixed,213,0.0112
Algeria,Algeria - Mobile,2131,0.0112
Algeria,Algeria - Mobile, 2136,0.0112
Algeria,Algeria - Mobile, 21398,0.0112
Algeria,Algeria - Mobile, 21399,0.0112
Algeria,Algeria - Mobile (Orascom),2137,0.0112
Algeria,Algeria - Mobile (Orascom), 21390,0.0112
Algeria,Algeria - Mobile (Orascom), 21391,0.0112
Algeria,Algeria - Mobile (Orascom), 21392,0.0112
Algeria,Algeria - Mobile (Orascom), 21393,0.0112
Algeria,Algeria - Mobile (Orascom), 21394,0.0112
Algeria,Algeria - Mobile (Orascom), 21395,0.0112
Algeria,Algeria - Mobile (Orascom), 21396,0.0112
Algeria,Algeria - Mobile (Wataniya),2135,0.0112
American Samoa,American Samoa - Fixed,1684,0.0112
American Samoa,American Samoa - Mobile,1684258,0.0112
American Samoa,American Samoa - Mobile, 1684733,0.0112
Andorra,Andorra - Fixed,376,0.0112
Andorra,Andorra - Mobile,3763,0.0112
Andorra,Andorra - Mobile, 3764,0.0112
Andorra,Andorra - Mobile, 3766,0.0112
Angola,Angola - Fixed,244,0.0112
Angola,Angola - Mobile,2449,0.0112
Angola,Angola - Mobile (Movicel),24491,0.0112
Angola,Angola - Mobile (Movicel), 24499,0.0112
Angola,Angola - Mobile (Unitel),24492,0.0112
Angola,Angola - Mobile (Unitel), 24493,0.0112
Angola,Angola - Mobile (Unitel), 24494,0.0112
Anguilla,Anguilla - Fixed,1264,0.0112
Anguilla,Anguilla - Mobile,1264235,0.0112
Anguilla,Anguilla - Mobile, 1264469,0.0112
Anguilla,Anguilla - Mobile, 1264476,0.0112
Anguilla,Anguilla - Mobile, 1264536,0.0112
Anguilla,Anguilla - Mobile, 1264537,0.0112
Anguilla,Anguilla - Mobile, 1264538,0.0112
Anguilla,Anguilla - Mobile, 1264539,0.0112
Anguilla,Anguilla - Mobile, 1264543,0.0112
Anguilla,Anguilla - Mobile, 1264581,0.0112
Anguilla,Anguilla - Mobile, 1264582,0.0112
Anguilla,Anguilla - Mobile, 1264583,0.0112
Anguilla,Anguilla - Mobile, 1264584,0.0112
Anguilla,Anguilla - Mobile, 1264729,0.0112
Anguilla,Anguilla - Mobile, 1264772,0.0112
Antarctica,Antarctica,672,0.0112
Antarctica,Antarctica - Casey,67212,0.0112
Antarctica,Antarctica - Davis,67210,0.0112
Antigua,Antigua - Fixed,1268,0.0112
Antigua,Antigua - Mobile,1268268,0.0112
Antigua,Antigua - Mobile, 1268404,0.0112
Antigua,Antigua - Mobile, 1268464,0.0112
Antigua,Antigua - Mobile, 1268555,0.0112
Antigua,Antigua - Mobile, 1268723,0.0112
Antigua,Antigua - Mobile, 1268724,0.0112
Antigua,Antigua - Mobile, 1268725,0.0112
Antigua,Antigua - Mobile, 1268726,0.0112
Antigua,Antigua - Mobile, 1268727,0.0112
Antigua,Antigua - Mobile, 1268728,0.0112
Antigua,Antigua - Mobile, 1268729,0.0112
Antigua,Antigua - Mobile, 1268739,0.0112
Antigua,Antigua - Mobile, 1268764,0.0112
Antigua,Antigua - Mobile, 1268770,0.0112
Antigua,Antigua - Mobile, 1268771,0.0112
Antigua,Antigua - Mobile, 1268772,0.0112
Antigua,Antigua - Mobile, 1268773,0.0112
Antigua,Antigua - Mobile, 1268774,0.0112
Antigua,Antigua - Mobile, 1268775,0.0112
Antigua,Antigua - Mobile, 1268938,0.0112
Argentina,Argentina - Fixed,54,0.0112
Argentina,Argentina - Buenos Aires,5411,0.0112
Argentina,Argentina - Cities A,54221,0.0112
Argentina,Argentina - Cities A, 54223,0.0112
Argentina,Argentina - Cities A, 542293,0.0112
Argentina,Argentina - Cities A, 542302,0.0112
Argentina,Argentina - Cities A, 54232,0.0112
Argentina,Argentina - Cities A, 542362,0.0112
Argentina,Argentina - Cities A, 54237,0.0112
Argentina,Argentina - Cities A, 54261,0.0112
Argentina,Argentina - Cities A, 54264,0.0112
Argentina,Argentina - Cities A, 54291,0.0112
Argentina,Argentina - Cities A, 54299,0.0112
Argentina,Argentina - Cities A, 54332,0.0112
Argentina,Argentina - Cities A, 54341,0.0112
Argentina,Argentina - Cities A, 54342,0.0112
Argentina,Argentina - Cities A, 54343,0.0112
Argentina,Argentina - Cities A, 543461,0.0112
Argentina,Argentina - Cities A, 543462,0.0112
Argentina,Argentina - Cities A, 543464,0.0112
Argentina,Argentina - Cities A, 543476,0.0112
Argentina,Argentina - Cities A, 54348,0.0112
Argentina,Argentina - Cities A, 54351,0.0112
Argentina,Argentina - Cities A, 543541,0.0112
Argentina,Argentina - Cities A, 543543,0.0112
Argentina,Argentina - Cities A, 543571,0.0112
Argentina,Argentina - Cities A, 54358,0.0112
Argentina,Argentina - Cities A, 54372,0.0112
Argentina,Argentina - Cities A, 543783,0.0112
Argentina,Argentina - Cities A, 543874,0.0112
Argentina,Argentina - Cities B,543534,0.0112
Argentina,Argentina - Cities B, 543547,0.0112
Argentina,Argentina - Cities B, 543548,0.0112
Argentina,Argentina - Cities B, 54357,0.0112
Argentina,Argentina - Mobile,549,0.0112
Armenia,Armenia - Fixed,374,0.0112
Armenia,Armenia - Yerevan,3741,0.0112
Armenia,Armenia - Mobile,3749,0.0112
Armenia,Armenia - Mobile (Armentel),37491,0.0112
Armenia,Armenia - Mobile (Armentel), 37492,0.0112
Armenia,Armenia - Mobile (Armentel), 37496,0.0112
Armenia,Armenia - Mobile (Armentel), 37499,0.0112
Armenia,Armenia - Mobile (Karabokh),37497,0.0112
Armenia,Armenia - Mobile (Orange),37455,0.0112
Armenia,Armenia - Mobile (Orange), 37495,0.0112
Armenia,Armenia - Mobile (Viva),37477,0.0112
Armenia,Armenia - Mobile (Viva), 37493,0.0112
Armenia,Armenia - Mobile (Viva), 37494,0.0112
Armenia,Armenia - Mobile (Viva), 37498,0.0112
Aruba,Aruba - Fixed,297,0.0112
Aruba,Aruba - Mobile,29756,0.0112
Aruba,Aruba - Mobile, 29759,0.0112
Aruba,Aruba - Mobile, 297600,0.0112
Aruba,Aruba - Mobile, 297622,0.0112
Aruba,Aruba - Mobile, 29766,0.0112
Aruba,Aruba - Mobile, 29769,0.0112
Aruba,Aruba - Mobile, 29796,0.0112
Aruba,Aruba - Mobile, 29799,0.0112
Aruba,Aruba - Mobile (Digicel),297630,0.0112
Aruba,Aruba - Mobile (Digicel), 297640,0.0112
Aruba,Aruba - Mobile (Digicel), 297641,0.0112
Aruba,Aruba - Mobile (Digicel), 29773,0.0112
Aruba,Aruba - Mobile (Digicel), 29774,0.0112
Ascension Is,Ascension Is,247,0.0112
Australia,Australia - Fixed,61,0.0112
Australia,Australia - Adelaide,6187,0.0112
Australia,Australia - Adelaide, 61881,0.0112
Australia,Australia - Adelaide, 61882,0.0112
Australia,Australia - Adelaide, 61883,0.0112
Australia,Australia - Adelaide, 61884,0.0112
Australia,Australia - Brisbane,6173,0.0112
Australia,Australia - Canberra,61261,0.0112
Australia,Australia - Canberra, 61262,0.0112
Australia,Australia - Melbourne,6138,0.0112
Australia,Australia - Melbourne, 6139,0.0112
Australia,Australia - Perth,6186,0.0112
Australia,Australia - Perth, 61892,0.0112
Australia,Australia - Perth, 61893,0.0112
Australia,Australia - Perth, 61894,0.0112
Australia,Australia - Sydney,6128,0.0112
Australia,Australia - Sydney, 6129,0.0112
Australia,Australia - Mobile,6116,0.0112
Australia,Australia - Mobile, 614,0.0112
Australia,Australia - Mobile (H3g),61425,0.0112
Australia,Australia - Mobile (H3g), 61430,0.0112
Australia,Australia - Mobile (H3g), 61433,0.0112
Australia,Australia - Mobile (Lyca),61469,0.0112
Australia,Australia - Mobile (Lyca), 61470,0.0112
Australia,Australia - Mobile (Optus),61401,0.0112
Australia,Australia - Mobile (Optus), 61402,0.0112
Australia,Australia - Mobile (Optus), 61403,0.0112
Australia,Australia - Mobile (Optus), 61411,0.0112
Australia,Australia - Mobile (Optus), 61412,0.0112
Australia,Australia - Mobile (Optus), 61413,0.0112
Australia,Australia - Mobile (Optus), 61421,0.0112
Australia,Australia - Mobile (Optus), 61422,0.0112
Australia,Australia - Mobile (Optus), 61423,0.0112
Australia,Australia - Mobile (Optus), 61431,0.0112
Australia,Australia - Mobile (Optus), 61432,0.0112
Australia,Australia - Mobile (Optus), 61434,0.0112
Australia,Australia - Mobile (Optus), 61435,0.0112
Australia,Australia - Mobile (Optus), 61466,0.0112
Australia,Australia - Mobile (Optus), 614683,0.0112
Australia,Australia - Mobile (Optus), 614684,0.0112
Australia,Australia - Mobile (Optus), 614685,0.0112
Australia,Australia - Mobile (Optus), 614686,0.0112
Australia,Australia - Mobile (Optus), 614687,0.0112
Australia,Australia - Mobile (Optus), 614688,0.0112
Australia,Australia - Mobile (Optus), 614689,0.0112
Australia,Australia - Mobile (Optus), 61478,0.0112
Australia,Australia - Mobile (Optus), 614790,0.0112
Australia,Australia - Mobile (Optus), 614791,0.0112
Australia,Australia - Mobile (Satellite),6114,0.0112
Australia,Australia - Mobile (Telstra),61400,0.0112
Australia,Australia - Mobile (Telstra), 61407,0.0112
Australia,Australia - Mobile (Telstra), 61408,0.0112
Australia,Australia - Mobile (Telstra), 61409,0.0112
Australia,Australia - Mobile (Telstra), 61417,0.0112
Australia,Australia - Mobile (Telstra), 61418,0.0112
Australia,Australia - Mobile (Telstra), 61419,0.0112
Australia,Australia - Mobile (Telstra), 61427,0.0112
Australia,Australia - Mobile (Telstra), 61428,0.0112
Australia,Australia - Mobile (Telstra), 61429,0.0112
Australia,Australia - Mobile (Telstra), 61437,0.0112
Australia,Australia - Mobile (Telstra), 61438,0.0112
Australia,Australia - Mobile (Telstra), 61439,0.0112
Australia,Australia - Mobile (Telstra), 614444,0.0112
Australia,Australia - Mobile (Telstra), 61447,0.0112
Australia,Australia - Mobile (Telstra), 61448,0.0112
Australia,Australia - Mobile (Telstra), 61457,0.0112
Australia,Australia - Mobile (Telstra), 61458,0.0112
Australia,Australia - Mobile (Telstra), 61459,0.0112
Australia,Australia - Mobile (Telstra), 61467,0.0112
Australia,Australia - Mobile (Telstra), 61477,0.0112
Australia,Australia - Mobile (Telstra), 61487,0.0112
Australia,Australia - Mobile (Telstra), 614880,0.0112
Australia,Australia - Mobile (Telstra), 614881,0.0112
Australia,Australia - Mobile (Telstra), 614882,0.0112
Australia,Australia - Mobile (Telstra), 614883,0.0112
Australia,Australia - Mobile (Telstra), 614884,0.0112
Australia,Australia - Mobile (Telstra), 614885,0.0112
Australia,Australia - Mobile (Telstra), 614886,0.0112
Australia,Australia - Mobile (Telstra), 614887,0.0112
Australia,Australia - Mobile (Telstra), 614889,0.0112
Australia,Australia - Mobile (Telstra), 61498,0.0112
Australia,Australia - Mobile (Telstra), 61499,0.0112
Australia,Australia - Mobile (Vodafone),61404,0.0112
Australia,Australia - Mobile (Vodafone), 61405,0.0112
Australia,Australia - Mobile (Vodafone), 61406,0.0112
Australia,Australia - Mobile (Vodafone), 61410,0.0112
Australia,Australia - Mobile (Vodafone), 61414,0.0112
Australia,Australia - Mobile (Vodafone), 61415,0.0112
Australia,Australia - Mobile (Vodafone), 61416,0.0112
Australia,Australia - Mobile (Vodafone), 614202,0.0112
Australia,Australia - Mobile (Vodafone), 614203,0.0112
Australia,Australia - Mobile (Vodafone), 614204,0.0112
Australia,Australia - Mobile (Vodafone), 614205,0.0112
Australia,Australia - Mobile (Vodafone), 614206,0.0112
Australia,Australia - Mobile (Vodafone), 614207,0.0112
Australia,Australia - Mobile (Vodafone), 614208,0.0112
Australia,Australia - Mobile (Vodafone), 614209,0.0112
Australia,Australia - Mobile (Vodafone), 61424,0.0112
Australia,Australia - Mobile (Vodafone), 61426,0.0112
Australia,Australia - Mobile (Vodafone), 61449,0.0112
Australia,Australia - Mobile (Vodafone), 61450,0.0112
Australia,Australia - Mobile (Vodafone), 61451,0.0112
Australia,Australia - Mobile (Vodafone), 61452,0.0112
Australia,Australia - Mobile (Vodafone), 61453,0.0112
Australia,Australia - Special Service,6113,0.0112
Austria,Austria - Fixed,43,0.0112
Austria,Austria - Vienna,431,0.0112
Austria,Austria - Mobile,43678,0.0112
Austria,Austria - Mobile, 43711,0.0112
Austria,Austria - Mobile, 43730,0.0112
Austria,Austria - Mobile, 43740,0.0112
Austria,Austria - Mobile, 43780,0.0112
Austria,Austria - Mobile (Connect),43681,0.0112
Austria,Austria - Mobile (Connect), 43699,0.0112
Austria,Austria - Mobile (H3g),43660,0.0112
Austria,Austria - Mobile (H3g), 4367833,0.0112
Austria,Austria - Mobile (H3g), 4367890,0.0112
Austria,Austria - Mobile (H3g), 4367891,0.0112
Austria,Austria - Mobile (Mobilkom),43644,0.0112
Austria,Austria - Mobile (Mobilkom), 43664,0.0112
Austria,Austria - Mobile (Mobilkom), 43680,0.0112
Austria,Austria - Mobile (Mobilkom), 43688,0.0112
Austria,Austria - Mobile (Mobilkom), 4369988,0.0112
Austria,Austria - Mobile (Mobilkom), 4369989,0.0112
Austria,Austria - Mobile (T-mobile),43676,0.0112
Austria,Austria - Mobile (T-mobile), 43677,0.0112
Austria,Austria - Mobile (Telering),43650,0.0112
Austria,Austria - Mobile (Telering), 436888,0.0112
Austria,Austria - Special Service,43720,0.0112
Austria,Austria - Special Service, 43810,0.0112
Austria,Austria - Special Service, 43820,0.0112
Azerbaijan,Azerbaijan - Fixed,994,0.0112
Azerbaijan,Azerbaijan - Baku,99412,0.0112
Azerbaijan,Azerbaijan - Mobile,99450,0.0112
Azerbaijan,Azerbaijan - Mobile, 99451,0.0112
Azerbaijan,Azerbaijan - Mobile, 99460,0.0112
Azerbaijan,Azerbaijan - Mobile (Azerfon),99470,0.0112
Azerbaijan,Azerbaijan - Mobile (Azerfon), 99477,0.0112
Azerbaijan,Azerbaijan - Mobile (Bakcell),99455,0.0112
Azerbaijan,Azerbaijan - Mobile (Catel),99440,0.0112
Azerbaijan,Azerbaijan - Mobile (Nar),99460540,0.0112
Bahamas Is,Bahamas Is - Fixed,1242,0.0112
Bahamas Is,Bahamas Is - Mobile,1242357,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242359,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242375,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242395,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242421,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242422,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242423,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242424,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242425,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242426,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242427,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242428,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242429,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242431,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242432,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242433,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242434,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242435,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242436,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242437,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242438,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242439,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242441,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242442,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242443,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242445,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242446,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242447,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242448,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242449,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242451,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242452,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242453,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242454,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242455,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242456,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242457,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242458,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242462,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242463,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242464,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242465,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242466,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242467,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242468,0.0112
Bahamas Is,Bahamas Is - Mobile, 124247,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242524,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242525,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242533,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242535,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242544,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242551,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242552,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242553,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242554,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242556,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242557,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242558,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242559,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242565,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242577,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242636,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242646,0.0112
Bahamas Is,Bahamas Is - Mobile, 1242727,0.0112
Bahrain,Bahrain - Fixed,973,0.0112
Bahrain,Bahrain - Mobile,9733,0.0112
Bahrain,Bahrain - Mobile, 97377,0.0112
Bahrain,Bahrain - Mobile, 9739,0.0112
Bangladesh,Bangladesh - Fixed,880,0.0112
Bangladesh,Bangladesh - Chittagong,88031,0.0112
Bangladesh,Bangladesh - Dhaka,8802,0.0112
Bangladesh,Bangladesh - Syhlet,880821,0.0112
Bangladesh,Bangladesh - Mobile,8801,0.0112
Barbados,Barbados - Fixed,1246,0.0112
Barbados,Barbados - Mobile (C&w),124623,0.0112
Barbados,Barbados - Mobile (C&w), 124624,0.0112
Barbados,Barbados - Mobile (C&w), 124625,0.0112
Barbados,Barbados - Mobile (C&w), 1246446,0.0112
Barbados,Barbados - Mobile (C&w), 1246447,0.0112
Barbados,Barbados - Mobile (C&w), 1246448,0.0112
Barbados,Barbados - Mobile (C&w), 1246449,0.0112
Barbados,Barbados - Mobile (C&w), 124645,0.0112
Barbados,Barbados - Mobile (C&w), 124652,0.0112
Barbados,Barbados - Mobile (Digicel),1246256,0.0112
Barbados,Barbados - Mobile (Digicel), 1246257,0.0112
Barbados,Barbados - Mobile (Digicel), 1246258,0.0112
Barbados,Barbados - Mobile (Digicel), 1246259,0.0112
Barbados,Barbados - Mobile (Digicel), 124626,0.0112
Barbados,Barbados - Mobile (Digicel), 124682,0.0112
Barbados,Barbados - Mobile (Digicel), 124683,0.0112
Barbados,Barbados - Mobile (Digicel), 124684,0.0112
Barbados,Barbados - Mobile (Digicel), 124685,0.0112
Belarus,Belarus - Fixed,375,0.0112
Belarus,Belarus - Mobile,37529,0.0112
Belarus,Belarus - Mobile (Best),375256,0.0112
Belarus,Belarus - Mobile (Best), 375259,0.0112
Belarus,Belarus - Mobile (Mts),375292,0.0112
Belarus,Belarus - Mobile (Mts), 375295,0.0112
Belarus,Belarus - Mobile (Mts), 375297,0.0112
Belarus,Belarus - Mobile (Mts), 375298,0.0112
Belarus,Belarus - Mobile (Mts), 37533,0.0112
Belarus,Belarus - Mobile (Velcom),375291,0.0112
Belarus,Belarus - Mobile (Velcom), 375293,0.0112
Belarus,Belarus - Mobile (Velcom), 375296,0.0112
Belarus,Belarus - Mobile (Velcom), 375299,0.0112
Belarus,Belarus - Mobile (Velcom), 37544,0.0112
Belgium,Belgium - Fixed,32,0.0112
Belgium,Belgium - Mobile,3245,0.0112
Belgium,Belgium - Mobile (Base),3248,0.0112
Belgium,Belgium - Mobile (Mobistar),3249,0.0112
Belgium,Belgium - Mobile (Proximus),3247,0.0112
Belgium,Belgium - Mobile (Special),3270,0.0112
Belize,Belize - Fixed,501,0.0112
Belize,Belize - Belize City,5012,0.0112
Belize,Belize - Mobile,5016,0.0112
Benin,Benin - Fixed,229,0.0112
Benin,Benin - Mobile,2299,0.0112
Benin,Benin - Mobile (Globacom),22968,0.0112
Benin,Benin - Mobile (Globacom), 22998,0.0112
Benin,Benin - Mobile (Globacom), 22999,0.0112
Benin,Benin - Mobile (Libercom),22990,0.0112
Benin,Benin - Mobile (Moov),22964,0.0112
