Aeromobile,88299,0.0112
Afghanistan - Fixed,93,0.0112
Afghanistan - Kabul,9320,0.0112
Afghanistan - Mobile,937,0.0112
Afghanistan - Mobile (Areeba),9377,0.0112
Afghanistan - Mobile (At),9375,0.0112
Afghanistan - Mobile (Awcc),9370,0.0112
Afghanistan - Mobile (Etisalat),9378,0.0112
Afghanistan - Mobile (Roshan),"9372, 9379",0.0112
Afghanistan - Mobile (Wasel),"937500, 937501, 937502, 937503, 937504",0.0112
Albania - Fixed,355,0.0112
Albania - Tirana,3554,0.0112
Albania - Mobile,35567,0.0112
Albania - Mobile (Amc),35568,0.0112
Albania - Mobile (Plus),35566,0.0112
Albania - Mobile (Vodafone),35569,0.0112
Algeria - Fixed,213,0.0112
Algeria - Mobile,"2131, 2136, 21398, 21399",0.0112
Algeria - Mobile (Orascom),"2137, 21390, 21391, 21392, 21393, 21394, 21395, 21396",0.0112
Algeria - Mobile (Wataniya),2135,0.0112
American Samoa - Fixed,1684,0.0112
American Samoa - Mobile,"1684258, 1684733",0.0112
Andorra - Fixed,376,0.0112
Andorra - Mobile,"3763, 3764, 3766",0.0112
Angola - Fixed,244,0.0112
Angola - Mobile,2449,0.0112
Angola - Mobile (Movicel),"24491, 24499",0.0112
Angola - Mobile (Unitel),"24492, 24493, 24494",0.0112
Anguilla - Fixed,1264,0.0112
Anguilla - Mobile,"1264235, 1264469, 1264476, 1264536, 1264537, 1264538, 1264539, 1264543, 1264581, 1264582, 1264583, 1264584, 1264729, 1264772",0.0112
Antarctica,672,0.0112
Antarctica - Casey,67212,0.0112
Antarctica - Davis,67210,0.0112
Antigua - Fixed,1268,0.0112
Antigua - Mobile,"1268268, 1268404, 1268464, 1268555, 1268723, 1268724, 1268725, 1268726, 1268727, 1268728, 1268729, 1268739, 1268764, 1268770, 1268771, 1268772, 1268773, 1268774, 1268775, 1268938",0.0112
Argentina - Fixed,54,0.0112
Argentina - Buenos Aires,5411,0.0112
Argentina - Cities A,"54221, 54223, 542293, 542302, 54232, 542362, 54237, 54261, 54264, 54291, 54299, 54332, 54341, 54342, 54343, 543461, 543462, 543464, 543476, 54348, 54351, 543541, 543543, 543571, 54358, 54372, 543783, 543874",0.0112
Argentina - Cities B,"543534, 543547, 543548, 54357",0.0112
Argentina - Mobile,549,0.0112
Armenia - Fixed,374,0.0112
Armenia - Yerevan,3741,0.0112
Armenia - Mobile,3749,0.0112
Armenia - Mobile (Armentel),"37491, 37492, 37496, 37499",0.0112
Armenia - Mobile (Karabokh),37497,0.0112
Armenia - Mobile (Orange),"37455, 37495",0.0112
Armenia - Mobile (Viva),"37477, 37493, 37494, 37498",0.0112
Aruba - Fixed,297,0.0112
Aruba - Mobile,"29756, 29759, 297600, 297622, 29766, 29769, 29796, 29799",0.0112
Aruba - Mobile (Digicel),"297630, 297640, 297641, 29773, 29774",0.0112
Ascension Is,247,0.0112
Australia - Fixed,61,0.0112
Australia - Adelaide,"6187, 61881, 61882, 61883, 61884",0.0112
Australia - Brisbane,6173,0.0112
Australia - Canberra,"61261, 61262",0.0112
Australia - Melbourne,"6138, 6139",0.0112
Australia - Perth,"6186, 61892, 61893, 61894",0.0112
Australia - Sydney,"6128, 6129",0.0112
Australia - Mobile,"6116, 614",0.0112
Australia - Mobile (H3g),"61425, 61430, 61433",0.0112
Australia - Mobile (Lyca),"61469, 61470",0.0112
Australia - Mobile (Optus),"61401, 61402, 61403, 61411, 61412, 61413, 61421, 61422, 61423, 61431, 61432, 61434, 61435, 61466, 614683, 614684, 614685, 614686, 614687, 614688, 614689, 61478, 614790, 614791",0.0112
Australia - Mobile (Satellite),6114,0.0112
Australia - Mobile (Telstra),"61400, 61407, 61408, 61409, 61417, 61418, 61419, 61427, 61428, 61429, 61437, 61438, 61439, 614444, 61447, 61448, 61457, 61458, 61459, 61467, 61477, 61487, 614880, 614881, 614882, 614883, 614884, 614885, 614886, 614887, 614889, 61498, 61499",0.0112
Australia - Mobile (Vodafone),"61404, 61405, 61406, 61410, 61414, 61415, 61416, 614202, 614203, 614204, 614205, 614206, 614207, 614208, 614209, 61424, 61426, 61449, 61450, 61451, 61452, 61453",0.0112
Australia - Special Service,6113,0.0112
Austria - Fixed,43,0.0112
Austria - Vienna,431,0.0112
Austria - Mobile,"43678, 43711, 43730, 43740, 43780",0.0112
Austria - Mobile (Connect),"43681, 43699",0.0112
Austria - Mobile (H3g),"43660, 4367833, 4367890, 4367891",0.0112
Austria - Mobile (Mobilkom),"43644, 43664, 43680, 43688, 4369988, 4369989",0.0112
Austria - Mobile (T-mobile),"43676, 43677",0.0112
Austria - Mobile (Telering),"43650, 436888",0.0112
Austria - Special Service,"43720, 43810, 43820",0.0112
Azerbaijan - Fixed,994,0.0112
Azerbaijan - Baku,99412,0.0112
Azerbaijan - Mobile,"99450, 99451, 99460",0.0112
Azerbaijan - Mobile (Azerfon),"99470, 99477",0.0112
Azerbaijan - Mobile (Bakcell),99455,0.0112
Azerbaijan - Mobile (Catel),99440,0.0112
Azerbaijan - Mobile (Nar),99460540,0.0112
Bahamas Is - Fixed,1242,0.0112
Bahamas Is - Mobile,"1242357, 1242359, 1242375, 1242395, 1242421, 1242422, 1242423, 1242424, 1242425, 1242426, 1242427, 1242428, 1242429, 1242431, 1242432, 1242433, 1242434, 1242435, 1242436, 1242437, 1242438, 1242439, 1242441, 1242442, 1242443, 1242445, 1242446, 1242447, 1242448, 1242449, 1242451, 1242452, 1242453, 1242454, 1242455, 1242456, 1242457, 1242458, 1242462, 1242463, 1242464, 1242465, 1242466, 1242467, 1242468, 124247, 1242524, 1242525, 1242533, 1242535, 1242544, 1242551, 1242552, 1242553, 1242554, 1242556, 1242557, 1242558, 1242559, 1242565, 1242577, 1242636, 1242646, 1242727",0.0112
Bahrain - Fixed,973,0.0112
Bahrain - Mobile,"9733, 97377, 9739",0.0112
Bangladesh - Fixed,880,0.0112
Bangladesh - Chittagong,88031,0.0112
Bangladesh - Dhaka,8802,0.0112
Bangladesh - Syhlet,880821,0.0112
Bangladesh - Mobile,8801,0.0112
Barbados - Fixed,1246,0.0112
Barbados - Mobile (C&w),"124623, 124624, 124625, 1246446, 1246447, 1246448, 1246449, 124645, 124652",0.0112
