Afghanistan - Mobile (Wasel),"937500, 937501, 937502, 937503, 937504"
Albania - Fixed,355
Albania - Tirana,3554
Albania - Mobile,35567
Albania - Mobile (Amc),35568
Albania - Mobile (Plus),35566
Albania - Mobile (Vodafone),35569
Algeria - Fixed,213
Algeria - Mobile,"2131, 2136, 21398, 21399"
Algeria - Mobile (Orascom),"2137, 21390, 21391, 21392, 21393, 21394, 21395, 21396"
Algeria - Mobile (Wataniya),2135
American Samoa - Fixed,1684
American Samoa - Mobile,"1684258, 1684733"
Andorra - Fixed,376
Andorra - Mobile,"3763, 3764, 3766"
Angola - Fixed,244
Angola - Mobile,2449
Angola - Mobile (Movicel),"24491, 24499"
Angola - Mobile (Unitel),"24492, 24493, 24494"
Anguilla - Fixed,1264
Anguilla - Mobile,"1264235, 1264469, 1264476, 1264536, 1264537, 1264538, 1264539, 1264543, 1264581, 1264582, 1264583, 1264584, 1264729, 1264772"
